gene_a.identifier,gene_a.name,gene_b.identifier,gene_b.name
7332,BLM,7567,HES5
7332,BLM,49397,HTR1D
7332,BLM,46846,MMS22L
7332,BLM,96295,HES6
7332,BLM,90190,SUPT6H
7332,BLM,30247,ARHGEF12
7332,BLM,86757,TJP3
7332,BLM,49221,PEX6
7332,BLM,92222,CWF19L1
7332,BLM,46337,L3MBTL2
7332,BLM,92364,PKMYT1
7332,BLM,56070,PACSIN3
7332,BLM,16713,YME1L1
7332,BLM,68660,PBX3
7332,BLM,91729,HTR6
7332,BLM,32801,TBC1D16
7332,BLM,85540,CWC25
7332,BLM,4624,TMEM259
7332,BLM,9406,SEMA3F
7332,BLM,15003,ETV1
7332,BLM,75743,FRG1
7332,BLM,88153,NRDE2
7332,BLM,32496,NDST2
7332,BLM,43770,DNAJB1
7332,BLM,85384,PSMD6
7332,BLM,45904,MCC
7332,BLM,70405,TGFBR3
7332,BLM,60031,SEC13
7332,BLM,56881,GATA3
7332,BLM,65340,SRRT
7332,BLM,88517,CEND1
7332,BLM,4508,PAQR6
7332,BLM,55002,PEX16
7332,BLM,66576,SAE1
7332,BLM,73866,SYT1
7332,BLM,28718,SH3BP2
7332,BLM,41645,IFT74
7332,BLM,11381,MAPK9
7332,BLM,19158,EIF3G
7332,BLM,60279,EEF2
7332,BLM,49507,AGAP3
7332,BLM,9970,VCP
7332,BLM,3524,GTF3C4
7332,BLM,37860,TAB3
7332,BLM,72612,ITGA6
7332,BLM,60913,DPP9
7332,BLM,18177,B3GNT6
7332,BLM,1121,POLDIP2
7332,BLM,78171,GDF7
7332,BLM,9535,SEM1
7332,BLM,3029,MCM6
7332,BLM,40454,PLEKHG3
7332,BLM,78175,AP3S2
7332,BLM,43857,RPS27A
7332,BLM,80756,RPL36
7332,BLM,52815,WWOX
7332,BLM,4607,NAPA
7332,BLM,29221,CDCP1
7332,BLM,84454,SLC35C1
7332,BLM,61806,SWAP70
7332,BLM,13638,SOCS1
7332,BLM,94953,KLF6
7332,BLM,76049,RPL31
7332,BLM,60019,MNX1
7332,BLM,37105,MYH9
7332,BLM,27058,SSUH2
7332,BLM,24955,ECM1
7332,BLM,58486,OVOL1
7332,BLM,25557,RPL5
7332,BLM,6692,RASSF7
7332,BLM,25029,RBBP8
7332,BLM,39585,SNRPG
7332,BLM,16967,ERGIC1
7332,BLM,1474,EFNA2
7332,BLM,68226,TSEN2
7332,BLM,53079,HM13
7332,BLM,18242,DDB2
7332,BLM,3797,PTCH1
7332,BLM,57307,GTF2H1
7332,BLM,44924,ELK4
7332,BLM,20750,AKAP8L
7332,BLM,24016,JAK2
7332,BLM,24840,ZNF142
7332,BLM,47825,PIK3C3
7332,BLM,2521,AGRN
7332,BLM,84047,MBP
7332,BLM,76580,TACSTD2
7332,BLM,22049,RPS8
7332,BLM,68483,COPS6
7332,BLM,50590,RPRD1A
7332,BLM,12239,TTLL1
7332,BLM,12380,APOE
7332,BLM,71533,H1-8
7332,BLM,24995,COQ3
7332,BLM,95668,RPL23A
7332,BLM,66105,PPM1M
7332,BLM,91516,PEX3
7332,BLM,15425,ACO1
7332,BLM,70520,ZNF444
7332,BLM,60449,TOX2
7332,BLM,11325,PRDM16
7332,BLM,61629,RPL7
7332,BLM,49606,CCDC171
7332,BLM,40212,SIX5
7332,BLM,17757,KLF16
7332,BLM,41338,BTN3A2
7332,BLM,74833,ZNF768
7332,BLM,63582,RPL32
7332,BLM,44694,LDAH
7332,BLM,36963,CTBP2
7332,BLM,22868,SRCAP
7332,BLM,82503,WASH2P
7332,BLM,35946,TSSC4
7332,BLM,80723,TRPC1
7332,BLM,48513,INSL3
7332,BLM,14197,PFDN6
7332,BLM,58873,PHOSPHO1
7332,BLM,55028,KPNA6
7332,BLM,28708,MAFA
7332,BLM,24802,MFSD10
7332,BLM,40136,RFC4
7332,BLM,7989,PSMB2
7332,BLM,61342,GEN1
7332,BLM,26950,CARS2
7332,BLM,168,CREBZF
7332,BLM,75494,SSH1
7332,BLM,26317,NDUFA13
7332,BLM,34074,DUSP18
7332,BLM,45137,ARX
7332,BLM,52948,HOXB3
7332,BLM,50959,CCDC138
7332,BLM,36327,FEV
7332,BLM,14870,PINK1
7332,BLM,69273,GATA2
7332,BLM,66519,ARHGAP23
7332,BLM,46309,KCNC3
7332,BLM,7134,DDX46
7332,BLM,84798,KREMEN2
7332,BLM,69823,GPC1
7332,BLM,72322,SF3A2
7332,BLM,11708,SYT7
7332,BLM,95636,TXN2
7332,BLM,49414,MCM2
7332,BLM,28186,GRB10
7332,BLM,16503,UTS2R
7332,BLM,82713,UBB
7332,BLM,72577,POLR2I
7332,BLM,92267,CEBPD
7332,BLM,91363,PRDX2
7332,BLM,48554,DNAJB6
7332,BLM,66921,GPR62
7332,BLM,94475,PDK4
7332,BLM,2490,USP5
7332,BLM,17031,PLA2G7
7332,BLM,76355,GATD3A
7332,BLM,32252,CSNK2B
7332,BLM,78927,NT5M
7332,BLM,6642,TOPBP1
7332,BLM,42204,MED22
7332,BLM,96017,CLPP
7332,BLM,14977,CNPY2
7332,BLM,87725,UBE2Q1
7332,BLM,22139,SORBS3
7332,BLM,61427,ATXN7L1
7332,BLM,34864,TRIM8
7332,BLM,78138,CNP
7332,BLM,67619,CSNK1E
7332,BLM,91897,AQR
7332,BLM,41201,BMP2K
7332,BLM,52424,PPA1
7332,BLM,84204,FGF8
7332,BLM,30153,ISG15
7332,BLM,37432,JMJD6
7332,BLM,45589,RPLP0
7332,BLM,12950,CTU1
7332,BLM,81197,DNAJC4
7332,BLM,67455,PTGER1
7332,BLM,61802,GPRC5C
7332,BLM,54968,TBC1D25
7332,BLM,82615,NPTN
7332,BLM,91952,TREX2
7332,BLM,55512,ALDH3B1
7332,BLM,78202,XIAP
7332,BLM,91639,SLC39A8
7332,BLM,92664,MORF4L2
7332,BLM,13685,PNN
7332,BLM,89560,ALDH16A1
7332,BLM,60732,KRAS
7332,BLM,41444,TSTA3
7337,PLPP6,33598,BRCA1
7337,PLPP6,55035,PTEN
7387,FOXL1,41473,GH1
7394,ZNF517,96301,TP53
7394,ZNF517,33598,BRCA1
7395,PRPF31,40616,ZNF576
7395,PRPF31,63034,TRIM28
7408,CEACAM6,76176,OSTN
7408,CEACAM6,32607,ST14
7449,GTF2E2,19137,MYC
7462,ATXN2,61849,CD36
7476,PPP1CC,52225,TYK2
7476,PPP1CC,74025,RPAP3
7476,PPP1CC,82740,CPNE1
7476,PPP1CC,50959,CCDC138
7476,PPP1CC,25943,STMN1
7514,C12orf43,19137,MYC
7599,PLN,55035,PTEN
7612,TMEM35A,55035,PTEN
7612,TMEM35A,46130,BRCA2
7636,CLIC1,68063,HRAS
7636,CLIC1,50834,NRAS
7636,CLIC1,60732,KRAS
7636,CLIC1,41972,KLF10
7673,NUP43,10146,PPP2R1A
7673,NUP43,82093,SRSF7
7673,NUP43,59973,TTC4
7673,NUP43,60732,KRAS
7676,IL18BP,29629,RNF121
7694,CYB561A3,81221,PTPN12
7694,CYB561A3,55781,TMEM138
7697,FLOT2,30092,NAE1
7698,ANK3,96301,TP53
7698,ANK3,69468,SLC22A1
7698,ANK3,33542,CYP3A4
7698,ANK3,46732,CYP2C19
7698,ANK3,36922,PTGS1
7698,ANK3,78342,PDGFRB
7698,ANK3,2587,BCR
7698,ANK3,21067,CYP3A5
7698,ANK3,30949,KIT
7698,ANK3,82030,CYP3A7
7698,ANK3,45411,CYP2C9
7698,ANK3,21849,CSF1R
7698,ANK3,17565,DDR1
7698,ANK3,48812,NTRK1
7698,ANK3,50176,CYP2D6
7698,ANK3,19644,CYP1A2
7698,ANK3,14672,ORM1
7698,ANK3,65860,PDGFRA
7698,ANK3,35301,RET
7698,ANK3,94654,SLC22A2
7710,PDE3A,11618,SLCO1B3
7710,PDE3A,92325,TUBB1
7717,MEAK7,54504,BCL9L
7717,MEAK7,25440,TJP1
7718,GLS2,37481,FUT1
7743,JCHAIN,30092,NAE1
7746,ZNF611,46296,HAUS2
7746,ZNF611,83332,ZNF83
7746,ZNF611,20954,ZNF701
7754,PNMA1,55035,PTEN
7758,ACBD6,42861,MUL1
7761,MNAT1,71318,PAPOLA
7761,MNAT1,30092,NAE1
7761,MNAT1,69303,TRMT5
7779,H3C12,20157,H4C1
7816,MYH15,50834,NRAS
7821,MED9,30188,NDUFB1
7821,MED9,61060,MRPL11
7821,MED9,10875,ZMAT2
7821,MED9,59973,TTC4
7822,OXT,12970,TK1
7822,OXT,77445,TAOK2
7822,OXT,1483,PIK3CD
7822,OXT,16910,TSPO
7822,OXT,47636,TOP1
7822,OXT,88859,SRC
7851,GCNA,84722,TSC22D2
7862,CNGA3,92325,TUBB1
7862,CNGA3,16152,MAP2
7862,CNGA3,45411,CYP2C9
7862,CNGA3,11618,SLCO1B3
7862,CNGA3,84094,CYP2C8
7862,CNGA3,7302,NR1I2
7862,CNGA3,21067,CYP3A5
7862,CNGA3,82030,CYP3A7
7862,CNGA3,7268,CYP1B1
7862,CNGA3,33542,CYP3A4
7862,CNGA3,66037,MAPT
7862,CNGA3,73009,CYP19A1
7862,CNGA3,53604,MAP4
7865,ATP6V0E1,48812,NTRK1
7865,ATP6V0E1,30949,KIT
7865,ATP6V0E1,14672,ORM1
7865,ATP6V0E1,76513,MGAT4B
7865,ATP6V0E1,50176,CYP2D6
7865,ATP6V0E1,19644,CYP1A2
7865,ATP6V0E1,69468,SLC22A1
7865,ATP6V0E1,21067,CYP3A5
7865,ATP6V0E1,46732,CYP2C19
7865,ATP6V0E1,82030,CYP3A7
7865,ATP6V0E1,2587,BCR
7865,ATP6V0E1,17565,DDR1
7865,ATP6V0E1,21849,CSF1R
7865,ATP6V0E1,45411,CYP2C9
7865,ATP6V0E1,33542,CYP3A4
7865,ATP6V0E1,94654,SLC22A2
7865,ATP6V0E1,36922,PTGS1
7865,ATP6V0E1,94041,CSTB
7865,ATP6V0E1,78342,PDGFRB
7865,ATP6V0E1,35301,RET
7865,ATP6V0E1,65860,PDGFRA
7868,SON,60732,KRAS
7872,MAGOH,35644,PPIH
7872,MAGOH,43720,HNRNPC
7872,MAGOH,60732,KRAS
7872,MAGOH,50834,NRAS
7907,LTBP3,30092,NAE1
7912,FGD6,19137,MYC
7912,FGD6,64843,S100A6
7946,MTMR2,24904,RNPEP
7949,ANKRD17,35481,PLOD3
7949,ANKRD17,40857,PDGFA
7949,ANKRD17,36880,INTS1
7949,ANKRD17,48799,RADIL
7949,ANKRD17,21812,DAGLB
7949,ANKRD17,16010,CDC25B
7966,C1R,2486,SFPQ
7966,C1R,84013,RBM15
7966,C1R,85138,EBNA1BP2
7966,C1R,61215,SNRPC
7966,C1R,20314,VARS1
7966,C1R,13165,RPP40
7966,C1R,95182,IGFBP6
7966,C1R,60732,KRAS
7974,CTPS2,19137,MYC
7975,SKP1,69468,SLC22A1
7975,SKP1,94654,SLC22A2
7975,SKP1,29430,RAB1A
7978,BRIP1,30092,NAE1
7978,BRIP1,16286,LXN
7978,BRIP1,5964,FH
7978,BRIP1,29375,DTL
7978,BRIP1,19605,PSMC3
7978,BRIP1,80444,GDAP1
7978,BRIP1,21480,TSPAN2
7978,BRIP1,92902,POLA1
7980,CUL5,60732,KRAS
7980,CUL5,56025,SNORA25
7980,CUL5,50834,NRAS
7980,CUL5,68063,HRAS
7980,CUL5,30092,NAE1
7981,PLA2G15,29473,TNPO3
7992,ACADL,30092,NAE1
8050,ADAMTS18,60732,KRAS
8050,ADAMTS18,68063,HRAS
8050,ADAMTS18,50834,NRAS
8059,SH2B1,74679,UBN1
8129,EXT1,96229,PTDSS2
8129,EXT1,54988,RUFY1
8129,EXT1,96301,TP53
8139,CREB1,40754,GTF3C3
8139,CREB1,91887,SPTLC1
8139,CREB1,65944,TLK1
8139,CREB1,33026,CREBBP
8139,CREB1,86177,MTOR
8139,CREB1,61622,MSH2
8141,GMNN,19152,WDHD1
8141,GMNN,30092,NAE1
8141,GMNN,73104,MDC1
8141,GMNN,55689,CCNB1
8141,GMNN,33598,BRCA1
8141,GMNN,90958,MITF
8141,GMNN,23376,MCM10
8141,GMNN,31227,PARP1
8166,FTO,30092,NAE1
8174,BRMS1,33488,CAPN1
8174,BRMS1,50638,RAB1B
8174,BRMS1,16286,LXN
8181,CDKL3,50834,NRAS
8181,CDKL3,68063,HRAS
8185,USP8,10799,PTAR1
8185,USP8,76841,ARMH3
8186,TUBB,28621,ZNF574
8186,TUBB,624,WARS2
8186,TUBB,74199,PARP2
8186,TUBB,1275,TUBGCP3
8186,TUBB,65509,TUBA1B
8186,TUBB,92325,TUBB1
8186,TUBB,37165,ALDH5A1
8192,ATP1B1,1158,ELF3
8196,DEFB129,42387,FETUB
8251,DPPA3,68063,HRAS
8251,DPPA3,60732,KRAS
8251,DPPA3,50834,NRAS
8252,SPTLC3,785,TACR1
8294,AKAP9,17407,NCOA6
8294,AKAP9,11782,PEX1
8319,PCDHB11,40259,EXOC5
8319,PCDHB11,49570,NONO
8333,PFKM,75349,TKT
8342,SHROOM3,11318,CXCL16
8355,NBEAL1,68063,HRAS
8355,NBEAL1,60732,KRAS
8355,NBEAL1,50834,NRAS
8372,IL1R1,14572,OSMR
8386,SVIL,55035,PTEN
8386,SVIL,54244,CAV2
8435,SLC50A1,35301,RET
8435,SLC50A1,69468,SLC22A1
8435,SLC50A1,94654,SLC22A2
8440,KRT78,70658,RHAG
8442,KIF1B,88944,RNF11
8442,KIF1B,47405,NPTX2
8442,KIF1B,41790,SKI
8464,PIGQ,16883,ZNF500
8476,ADA2,68063,HRAS
8476,ADA2,16152,MAP2
8476,ADA2,33542,CYP3A4
8476,ADA2,7268,CYP1B1
8476,ADA2,84094,CYP2C8
8476,ADA2,11618,SLCO1B3
8476,ADA2,21067,CYP3A5
8476,ADA2,50834,NRAS
8476,ADA2,92325,TUBB1
8476,ADA2,60732,KRAS
8476,ADA2,82030,CYP3A7
8476,ADA2,7302,NR1I2
8476,ADA2,66037,MAPT
8476,ADA2,53604,MAP4
8476,ADA2,73009,CYP19A1
8476,ADA2,45411,CYP2C9
8488,RNF146,36205,IARS2
8488,RNF146,11354,UBC
8488,RNF146,89024,MATR3
8488,RNF146,25606,EIF2B1
8488,RNF146,70059,CMAS
8488,RNF146,34525,ILF2
8488,RNF146,22437,RTRAF
8488,RNF146,28481,YIPF4
8488,RNF146,58426,RAD23B
8488,RNF146,26959,SLC38A2
8488,RNF146,36639,MMADHC
8488,RNF146,88318,PSMA2
8488,RNF146,32150,NFYB
8488,RNF146,54702,YAF2
8488,RNF146,85959,TAB2
8490,CCNT1,93234,VSTM2L
8490,CCNT1,39016,CNOT3
8499,MDH1,50834,NRAS
8502,RAD9A,29297,USP1
8502,RAD9A,52831,SESN2
8502,RAD9A,13272,ZBTB32
8502,RAD9A,27772,XRCC2
8502,RAD9A,44340,RELA
8502,RAD9A,7059,WRAP53
8502,RAD9A,35001,RPL13A
8502,RAD9A,30192,RRM1
8502,RAD9A,11618,SLCO1B3
8502,RAD9A,47539,TNFRSF10B
8502,RAD9A,18894,UNG
8502,RAD9A,93727,SSBP1
8502,RAD9A,55604,RBX1
8502,RAD9A,92325,TUBB1
8519,G3BP2,85405,API5
8519,G3BP2,5478,USO1
8519,G3BP2,46235,RCHY1
8519,G3BP2,74717,B4GAT1
8519,G3BP2,87660,LARP7
8531,FZD2,14672,ORM1
8531,FZD2,94654,SLC22A2
8531,FZD2,35301,RET
8531,FZD2,36922,PTGS1
8531,FZD2,65860,PDGFRA
8531,FZD2,69468,SLC22A1
8531,FZD2,30949,KIT
8531,FZD2,78342,PDGFRB
8531,FZD2,48812,NTRK1
8545,KIN,30092,NAE1
8547,LCORL,40128,NAA38
8547,LCORL,76426,LSM8
8551,C14orf119,12121,LRP10
8557,SDHAP1,33598,BRCA1
8558,FLVCR2,60732,KRAS
8558,FLVCR2,68063,HRAS
8558,FLVCR2,50834,NRAS
8597,HOXC8,82226,UFL1
8597,HOXC8,18973,NCOA2
8597,HOXC8,66902,ZNF568
8597,HOXC8,92518,HOXC9
8603,CANX,44038,PPP2CA
8603,CANX,11381,MAPK9
8612,C2CD4B,30092,NAE1
8631,GSTO2,76580,TACSTD2
8658,DUSP16,50834,NRAS
8658,DUSP16,68063,HRAS
8658,DUSP16,60732,KRAS
8661,LIG4,30092,NAE1
8675,SENP7,33777,TBL1XR1
8676,CRELD2,50834,NRAS
8676,CRELD2,68063,HRAS
8676,CRELD2,60732,KRAS
8676,CRELD2,30092,NAE1
8679,ATG4A,68063,HRAS
8679,ATG4A,60732,KRAS
8679,ATG4A,50834,NRAS
8723,HFE,78574,IL17RC
8735,CCL19,9549,TSKS
8754,RPRD1B,43849,YTHDF1
8782,CPE,53079,HM13
8782,CPE,52850,IGF2BP3
8782,CPE,9416,DNTTIP1
8782,CPE,40788,STX1A
8808,KCTD10,52295,PPIE
8808,KCTD10,52601,RPL10
8808,KCTD10,43623,MRPS11
8808,KCTD10,36820,NCAPD2
8808,KCTD10,13056,MRPS23
8808,KCTD10,59973,TTC4
8808,KCTD10,62048,PTCD1
8808,KCTD10,89901,MED1
8808,KCTD10,37032,SCO1
8808,KCTD10,51483,PTCD3
8808,KCTD10,11957,NUDC
8808,KCTD10,52294,MRPS35
8808,KCTD10,1822,REXO2
8808,KCTD10,60325,UBQLN4
8808,KCTD10,89617,UBA3
8808,KCTD10,42385,NACA
8808,KCTD10,61215,SNRPC
8808,KCTD10,5583,SEH1L
8808,KCTD10,65030,RPL13
8808,KCTD10,57951,MRPL3
8808,KCTD10,26458,MED24
8808,KCTD10,48205,MRPL10
8808,KCTD10,92816,PPCS
8808,KCTD10,25557,RPL5
8808,KCTD10,78517,PSMC2
8808,KCTD10,92508,NOP58
8808,KCTD10,24897,MRPS21
8808,KCTD10,92700,NDUFB4
8808,KCTD10,86657,MRPL32
8808,KCTD10,6142,MRPL35
8808,KCTD10,22452,SIAH2
8808,KCTD10,44604,MRPS14
8808,KCTD10,17676,PDRG1
8808,KCTD10,66708,MRPL19
8808,KCTD10,726,RPLP1
8808,KCTD10,89393,MRPL24
8808,KCTD10,4142,RPN1
8808,KCTD10,45384,MARS2
8808,KCTD10,27374,PNISR
8808,KCTD10,68569,MRPS9
8808,KCTD10,21289,MRPL46
8808,KCTD10,1112,TIMELESS
8808,KCTD10,10146,PPP2R1A
8808,KCTD10,76183,TUBGCP4
8808,KCTD10,2969,MTPAP
8808,KCTD10,23897,NAT10
8808,KCTD10,57880,PSMB6
8808,KCTD10,53294,MRPS28
8808,KCTD10,74288,MCM4
8808,KCTD10,79357,MRPS16
8808,KCTD10,48750,SNRPB
8808,KCTD10,76666,RPS28
8808,KCTD10,3361,NSMCE1
8808,KCTD10,94478,NUP54
8808,KCTD10,19598,MARS1
8808,KCTD10,11953,QARS1
8808,KCTD10,29252,MRPL39
8808,KCTD10,89532,MED10
8808,KCTD10,23671,KIF14
8808,KCTD10,92860,MRPL37
8808,KCTD10,13776,MRPL42
8808,KCTD10,2763,TBCB
8808,KCTD10,89228,MRPL43
8808,KCTD10,33887,WDR61
8808,KCTD10,93510,MRPL36
8808,KCTD10,55922,POLR2K
8808,KCTD10,67391,UQCRB
8808,KCTD10,81580,PPWD1
8808,KCTD10,68226,TSEN2
8808,KCTD10,29136,SRP19
8808,KCTD10,82427,MRPS30
8808,KCTD10,1275,TUBGCP3
8808,KCTD10,71977,METAP2
8808,KCTD10,37160,RPS18
8808,KCTD10,68078,MAT2A
8808,KCTD10,19193,LARS2
8808,KCTD10,88551,SAP18
8808,KCTD10,15058,MRPL22
8808,KCTD10,45366,PSMB7
8808,KCTD10,16355,RNGTT
8808,KCTD10,29660,RBM25
8808,KCTD10,21845,SKA3
8808,KCTD10,74083,MRPS18B
8808,KCTD10,69480,PSMC6
8808,KCTD10,77791,RBM17
8808,KCTD10,77416,RPS5
8808,KCTD10,86493,RPL24
8808,KCTD10,19792,PMF1
8808,KCTD10,65499,PELO
8808,KCTD10,91076,PSMC1
8808,KCTD10,13563,PRIM2
8808,KCTD10,27084,MICOS10-NBL1
8808,KCTD10,68023,PAFAH1B1
8808,KCTD10,37892,RPLP2
8808,KCTD10,45219,LUC7L3
8808,KCTD10,54085,MRPS10
8808,KCTD10,33868,MED14
8808,KCTD10,21143,PPP2R2A
8808,KCTD10,55996,POLR3A
8808,KCTD10,22199,MRPS5
8808,KCTD10,90671,POLD1
8808,KCTD10,63582,RPL32
8808,KCTD10,50860,METTL17
8808,KCTD10,93727,SSBP1
8808,KCTD10,40136,RFC4
8808,KCTD10,40016,RPL11
8808,KCTD10,63852,MICOS10
8808,KCTD10,71047,MRPL33
8831,DACT1,62048,PTCD1
8831,DACT1,1223,PEX11B
8838,GTF2A2,50834,NRAS
8838,GTF2A2,88318,PSMA2
8838,GTF2A2,68063,HRAS
8838,GTF2A2,84054,PSMD10
8838,GTF2A2,60732,KRAS
8838,GTF2A2,34525,ILF2
8865,FAM3A,90745,IKBKG
8886,CKAP2,12269,DEK
8886,CKAP2,30038,DLGAP5
8901,ABCC2,74282,SMO
8901,ABCC2,7862,CNGA3
8901,ABCC2,27723,RFC5
8901,ABCC2,45349,C1S
8901,ABCC2,63943,BUB1
8901,ABCC2,11782,PEX1
8901,ABCC2,65850,LPAR1
8901,ABCC2,47715,AURKA
8901,ABCC2,49632,PPP3CA
8901,ABCC2,47355,PTPRD
8901,ABCC2,8502,RAD9A
8901,ABCC2,91747,PTPN3
8901,ABCC2,63218,KCNQ4
8901,ABCC2,52034,ALPK1
8901,ABCC2,21299,SENP1
8901,ABCC2,90775,BIRC3
8901,ABCC2,66569,MOK
8901,ABCC2,8476,ADA2
8901,ABCC2,59620,AMPD2
8901,ABCC2,90676,BCKDK
8901,ABCC2,91978,HERC5
8901,ABCC2,7710,PDE3A
8901,ABCC2,22602,KIF5A
8901,ABCC2,20250,CARS1
8901,ABCC2,72349,GTSE1
8901,ABCC2,61612,HECTD3
8901,ABCC2,47088,ILK
8901,ABCC2,49419,FBXL14
8901,ABCC2,55066,EEPD1
8901,ABCC2,48043,XRCC6
8901,ABCC2,81170,HACE1
8901,ABCC2,28106,FANCF
8901,ABCC2,24428,SOD2
8901,ABCC2,27193,PTPRF
8901,ABCC2,3515,RNF213
8901,ABCC2,91292,HCFC1
8901,ABCC2,142,TAP2
8901,ABCC2,18832,CD9
8901,ABCC2,10013,HPS1
8901,ABCC2,33939,CBR1
8937,LHFPL2,6653,SQSTM1
8953,GPT,96301,TP53
8965,EP300,30092,NAE1
8965,EP300,96301,TP53
8971,PRKAG3,89712,TYMS
8971,PRKAG3,44669,SLC29A2
8971,PRKAG3,55035,PTEN
8971,PRKAG3,10369,SLC29A1
8971,PRKAG3,89489,SLC28A1
8971,PRKAG3,30192,RRM1
8972,MAP3K12,64958,RPL28
8975,DIS3L,2436,PARP16
8984,FAM215A,30092,NAE1
9021,INPP1,28733,PRKCA
9021,INPP1,17170,MCAT
9033,ATG4C,30092,NAE1
9033,ATG4C,72916,PRPF38A
9042,RIN2,90268,SRGAP1
9056,MSL3,19137,MYC
9103,SMC5,59973,TTC4
9103,SMC5,39388,UBA2
9103,SMC5,1275,TUBGCP3
9103,SMC5,83551,SPAG7
9109,SBNO1,77302,TARDBP
9109,SBNO1,34457,SUDS3
9111,ENPP2,56210,SSB
9111,ENPP2,96301,TP53
9126,KDM2B,60732,KRAS
9126,KDM2B,50834,NRAS
9126,KDM2B,68063,HRAS
9147,RNF34,44605,SART3
9151,IDH1,19064,BCL2L1
9168,MEST,66799,PLXNB2
9176,RB1,73013,TSC2
9176,RB1,5540,SCPEP1
9176,RB1,28434,AURKB
9176,RB1,83158,CDKN2A
9176,RB1,47715,AURKA
9176,RB1,55971,TWSG1
9176,RB1,85211,TOP2A
9193,FGFBP1,17940,ZNF165
9193,FGFBP1,57919,LAMA5
9193,FGFBP1,43382,EVPL
9193,FGFBP1,34890,PRRG2
9193,FGFBP1,47468,SEMA4B
9193,FGFBP1,44726,KRT15
9193,FGFBP1,57308,OR2G3
9193,FGFBP1,75222,OR2AK2
9193,FGFBP1,83529,SCNN1A
9193,FGFBP1,16299,OR2L3
9221,DNAH5,33598,BRCA1
9222,ZC3H12A,55035,PTEN
9227,VEGFC,70870,CAPN2
9227,VEGFC,1261,GSDME
9227,VEGFC,46921,TFPI2
9227,VEGFC,62280,CRIM1
9227,VEGFC,54075,AOX1
9227,VEGFC,55449,INHBA
9246,GATAD2B,72197,MDM4
9246,GATAD2B,33598,BRCA1
9275,EIF3B,93934,DNAAF5
9275,EIF3B,8350,TBRG4
9275,EIF3B,26969,SRSF8
9289,PRAM1,91623,RAD52
9291,MAX,59973,TTC4
9291,MAX,42385,NACA
9291,MAX,65499,PELO
9291,MAX,19137,MYC
9291,MAX,5986,NFE2L1
9291,MAX,93510,MRPL36
9291,MAX,66010,VPS29
9291,MAX,17750,NDUFA9
9291,MAX,52590,VPS72
9291,MAX,16646,MRPS18A
9291,MAX,22342,SMARCA4
9291,MAX,78075,MRPL18
9296,TM4SF19,96301,TP53
9296,TM4SF19,33598,BRCA1
9300,PTX3,96301,TP53
9300,PTX3,13165,RPP40
9300,PTX3,33598,BRCA1
9303,IFITM2,62048,PTCD1
9334,SMAD2,96301,TP53
9334,SMAD2,5102,TXNL1
9345,IKZF2,50834,NRAS
9345,IKZF2,60732,KRAS
9364,OLIG2,60732,KRAS
9394,HMGN2,68063,HRAS
9394,HMGN2,50834,NRAS
9394,HMGN2,60732,KRAS
9405,FA2H,46191,CLDN4
9405,FA2H,60732,KRAS
9405,FA2H,68063,HRAS
9405,FA2H,50834,NRAS
9416,DNTTIP1,82338,PCDHA8
9416,DNTTIP1,24144,ZSWIM1
9416,DNTTIP1,71200,UBE2C
9416,DNTTIP1,50834,NRAS
9416,DNTTIP1,47033,PCDHA2
9416,DNTTIP1,22048,PCDHA4
9416,DNTTIP1,12667,HRH2
9416,DNTTIP1,61372,TPO
9416,DNTTIP1,91428,PCDHAC1
9416,DNTTIP1,68063,HRAS
9416,DNTTIP1,79003,NAAA
9419,MAPK3,65458,SPHK1
9419,MAPK3,13799,PIM1
9419,MAPK3,30092,NAE1
9419,MAPK3,31227,PARP1
9419,MAPK3,43115,PTPRZ1
9419,MAPK3,96301,TP53
9419,MAPK3,17121,MMP25
9442,FGF2,19137,MYC
9446,LCP1,30092,NAE1
9449,MACF1,62048,PTCD1
9450,TENT5A,30092,NAE1
9466,NCL,60732,KRAS
9466,NCL,67385,ZC3H15
9466,NCL,24840,ZNF142
9466,NCL,50834,NRAS
9466,NCL,83715,NUDT16
9489,CCNK,19137,MYC
9489,CCNK,76566,INTS5
9489,CCNK,64205,EXOSC9
9489,CCNK,28217,LEO1
9489,CCNK,90634,EIF3D
9512,HTT,47405,NPTX2
9512,HTT,30092,NAE1
9526,S100P,43382,EVPL
9535,SEM1,60732,KRAS
9576,CCDC66,30092,NAE1
9577,CCNQ,91862,NSDHL
9579,KLRC1,19137,MYC
9582,FAM221A,43811,MRC2
9583,COL4A4,30092,NAE1
9589,TIE1,19137,MYC
9612,RGS20,84811,SLC37A1
9612,RGS20,60732,KRAS
9612,RGS20,70658,RHAG
9643,PCDHA3,7587,PCDHAC2
9643,PCDHA3,91428,PCDHAC1
9658,DNHD1,19137,MYC
9664,TMEM30B,3422,IRF6
9664,TMEM30B,11318,CXCL16
9681,GNPNAT1,19137,MYC
9692,IL18,85854,SERPINB5
9692,IL18,30092,NAE1
9692,IL18,48799,RADIL
9692,IL18,93822,SLC16A5
9695,SHFL,19060,HLA-E
9701,BDH2,49246,TMEM189
9727,CUL4B,30092,NAE1
9732,CNIH1,10799,PTAR1
9747,GNRHR,19137,MYC
9752,AMFR,50834,NRAS
9752,AMFR,60732,KRAS
9752,AMFR,68063,HRAS
9758,EGFR,48935,LEPROT
